"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,410.17631,0.0000021,,5.15E+06,AAA,82 259.2850014,-,106 632.1665697,2p,2P°,3/2,6d,2D,5/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,410.17632,0.00003,,,,,,,,,,,,,,,c59
,,410.176386,0.0000021,,8.57E+05,AAA,82 259.2850014,-,[106 632.1620536],2p,2P°,3/2,6d,2D,3/2,,T7771,
,,410.1765915,0.0000021,,4.90E+05,AAA,82 259.2850014,-,106 632.1498416,2p,2P°,3/2,6s,2S,1/2,,T7771,
,,434.0426937,0.0000022,,7.85E+06,AAA,82 258.9191133,-,105 291.651993,2p,2P°,1/2,5d,2D,3/2,,T7771,
,,434.04309,0.00011,,,,,,,,,,,,,,,c60
,,,,,,,,,,,,,,,,,,
,,434.0430904,0.0000023,,4.30E+05,AAA,82 258.9191133,-,[105 291.63094],2p,2P°,1/2,5s,2S,1/2,,T7771,
,,434.0433568,0.0000023,,4.95E+06,AAA,82 258.9543992821,-,105 291.65209,2s,2S,1/2,5p,2P°,3/2,,T7771,
,,434.0437554,0.0000023,,,,82 258.9543992821,-,[105 291.63094],2s,2S,1/2,5s,2S,1/2,M1,,
,,434.0437982,0.0000023,,4.95E+06,AAA,82 258.9543992821,-,105 291.62867,2s,2S,1/2,5p,2P°,1/2,,T7771,
,,434.04634,0.00011,,,,,,,,,,,,,,,c61
,,,,,,,,,,,,,,,,,,
434.0472,0.0006,434.0471,0.0003,90000,2.53E+06,AAA,82 259.158,-,105 291.657,2,,,5,,,,T8637,L7436c29
,,434.0494419,0.0000022,,9.43E+06,AAA,82 259.2850014,-,[105 291.659796],2p,2P°,3/2,5d,2D,5/2,,T7771,
,,434.04947,0.00004,,,,,,,,,,,,,,,c62
,,434.0495889,0.0000022,,1.57E+06,AAA,82 259.2850014,-,105 291.651993,2p,2P°,3/2,5d,2D,3/2,,T7771,
,,434.0499857,0.0000023,,8.59E+05,AAA,82 259.2850014,-,[105 291.63094],2p,2P°,3/2,5s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,486.1278624,0.0000024,,1.72E+07,AAA,82 258.9191133,-,102 823.894250,2p,2P°,1/2,4d,2D,3/2,,T7771,
486.1283363,0.0000024,486.1283363,0.0000024,,,,82 258.9543992821,-,102 823.9094871,2s,2S,1/2,4d,2D,5/2,E2,,L9496
,,486.12841,0.00014,,,,,,,,,,,,,,,c63
486.1286949,0.0000024,486.1286949,0.0000024,,9.67E+06,AAA,82 258.9543992821,-,102 823.8943175,2s,2S,1/2,4p,2P°,3/2,,T7771,L9477
,,486.128837,0.0000024,,8.59E+05,AAA,82 258.9191133,-,102 823.8530211,2p,2P°,1/2,4s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
486.1296711,0.0000024,486.1296711,0.0000024,,,,82 258.9543992821,-,102 823.8530211,2s,2S,1/2,4s,2S,1/2,M1,,L9496
486.1297761,0.0000024,486.1297761,0.0000024,,9.67E+06,AAA,82 258.9543992821,-,102 823.8485825,2s,2S,1/2,4p,2P°,1/2,,T7771,L9477
,,486.1325,0.00014,,,,,,,,,,,,,,,c64
486.135,0.005,486.1333,0.0003,180000,8.42E+06,AAA,82 259.158,-,102 823.904,2,,,4,,,,T8637,L7439c30
,,486.1361516,0.0000024,,2.06E+07,AAA,82 259.2850014,-,102 823.9094871,2p,2P°,3/2,4d,2D,5/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,486.13622,0.00005,,,,,,,,,,,,,,,c65
,,486.1365118,0.0000024,,3.44E+06,AAA,82 259.2850014,-,102 823.894250,2p,2P°,3/2,4d,2D,3/2,,T7771,
,,486.1374864,0.0000024,,1.72E+06,AAA,82 259.2850014,-,102 823.8530211,2p,2P°,3/2,4s,2S,1/2,,T7771,
656.27097,0.000004,656.27097,0.000003,,5.39E+07,AAA,82 258.9191133,-,97 492.319433,2p,2P°,1/2,3d,2D,3/2,,T7771,L2752
,,656.2714,0.0004,,,,,,,,,,,,,,,c67
,,,,,,,,,,,,,,,,,,
,,656.2722,0.0009,,,,,,,,,,,,,,,c68
656.272483,0.000003,656.272483,0.000003,,2.24E+07,AAA,82 258.9543992821,-,97 492.319611,2s,2S,1/2,3p,2P°,3/2,,T7771,L6891c38
,,656.275181,0.000003,,2.10E+06,AAA,82 258.9191133,-,97 492.221701,2p,2P°,1/2,3s,2S,1/2,,T7771,
,,656.276701,0.000003,,,,82 258.9543992821,-,97 492.221701,2s,2S,1/2,3s,2S,1/2,M1,,
,,656.277,0.0006,,,,,,,,,,,,,,,c66
,,,,,,,,,,,,,,,,,,
656.277153,0.000003,656.277153,0.000003,,2.24E+07,AAA,82 258.9543992821,-,97 492.211200,2s,2S,1/2,3p,2P°,1/2,,T7771,L6891c38
656.279,0.003,656.2819,0.0007,500000,4.41E+07,AAA,82 259.158,-,97 492.304,2,,,3,,,,T8637,L7400c29
,,656.2795,0.0009,,,,,,,,,,,,,,,c69
656.285175,0.000007,656.285177,0.000003,,6.47E+07,AAA,82 259.2850014,-,97 492.355566,2p,2P°,3/2,3d,2D,5/2,,T7771,L2752
,,656.28533,0.00003,,,,,,,,,,,,,,,c71
,,,,,,,,,,,,,,,,,,
,,656.2854,0.0003,,,,,,,,,,,,,,,c70
,,656.286734,0.000003,,1.08E+07,AAA,82 259.2850014,-,97 492.319433,2p,2P°,3/2,3d,2D,3/2,,T7771,
,,656.290944,0.000003,,4.21E+06,AAA,82 259.2850014,-,97 492.221701,2p,2P°,3/2,3s,2S,1/2,,T7771,
824.999,0.01,824.9974,0.0005,90,,,97 492.304,-,[109 610.2232],3,,,40,,,,,L7400c29
825.229,0.01,825.2399,0.0005,90,,,97 492.304,-,[109 606.6628],3,,,39,,,,,L7400c29
,,,,,,,,,,,,,,,,,,
825.499,0.01,825.5019,0.0005,90,,,97 492.304,-,[109 602.8177],3,,,38,,,,,L7400c29
825.789,0.01,825.7856,0.0005,110,,,97 492.304,-,[109 598.6566],3,,,37,,,,,L7400c29
826.089,0.01,826.0936,0.0005,110,,,97 492.304,-,[109 594.1439],3,,,36,,,,,L7400c29
826.428,0.003,826.4285,0.0005,110,,,97 492.304,-,[109 589.2390],3,,,35,,,,,L7400c29
826.794,0.003,826.7938,0.0005,110,,,97 492.304,-,[109 583.8949],3,,,34,,,,,L7400c29
,,,,,,,,,,,,,,,,,,
827.194,0.003,827.1931,0.0005,140,,,97 492.304,-,[109 578.0577],3,,,33,,,,,L7400c29
827.632,0.003,827.6309,0.0005,140,,,97 492.304,-,[109 571.6647],3,,,32,,,,,L7400c29
828.113,0.003,828.1123,0.0005,140,,,97 492.304,-,[109 564.6431],3,,,31,,,,,L7400c29
828.642,0.003,828.6432,0.0005,140,,,97 492.304,-,[109 556.9077],3,,,30,,,,,L7400c29
829.23,0.003,829.2308,0.0006,170,,,97 492.304,-,[109 548.3584],3,,,29,,,,,L7400c29
,,,,,,,,,,,,,,,,,,
829.883,0.003,829.8835,0.0006,210,,,97 492.304,-,[109 538.8768],3,,,28,,,,,L7400c29
830.61,0.003,830.6113,0.0006,250,,,97 492.304,-,[109 528.3223],3,,,27,,,,,L7400c29
831.426,0.003,831.4261,0.0006,290,,,97 492.304,-,[109 516.5267],3,,,26,,,,,L7400c29
832.342,0.003,832.3425,0.0006,290,,,97 492.304,-,[109 503.2875],3,,,25,,,,,L7400c29
833.378,0.003,833.3783,0.0006,370,,,97 492.304,-,[109 488.3592],3,,,24,,,,,L7400c29
,,,,,,,,,,,,,,,,,,
834.554,0.003,834.5553,0.0006,500,,,97 492.304,-,[109 471.4416],3,,,23,,,,,L7400c29
835.9,0.003,835.9004,0.0006,500,,,97 492.304,-,[109 452.1650],3,,,22,,,,,L7400c29
837.448,0.003,837.4476,0.0006,600,,,97 492.304,-,[109 430.0696],3,,,21,,,,,L7400c29
839.24,0.003,839.2397,0.0006,700,1.52E+03,AAA,97 492.304,-,[109 404.5776],3,,,20,,,,T8637,L7400c29
841.332,0.003,841.3318,0.0006,700,1.96E+03,AAA,97 492.304,-,[109 374.9555],3,,,19,,,,T8637,L7400c29
,,,,,,,,,,,,,,,,,,
843.795,0.003,843.7956,0.0006,700,2.58E+03,AAA,97 492.304,-,[109 340.2604],3,,,18,,,,T8637,L7400c29
846.726,0.003,846.7254,0.0006,700,3.44E+03,AAA,97 492.304,-,[109 299.2642],3,,,17,,,,T8637,L7400c29
850.249,0.003,850.2483,0.0006,-1200,4.68E+03,AAA,97 492.304,-,[109 250.3433],3,,,16,,,,T8637,L7400c29
854.538,0.003,854.5383,0.0006,-1400,6.49E+03,AAA,97 492.304,-,[109 191.3154],3,,,15,,,,T8637,L7400c29
859.839,0.003,859.8392,0.0006,2300,9.21E+03,AAA,97 492.304,-,[109 119.1917],3,,,14,,,,T8637,L7400c29
,,,,,,,,,,,,,,,,,,
866.502,0.003,866.5018,0.0006,-2200,1.34E+04,AAA,97 492.304,-,[109 029.7913],3,,,13,,,,T8637,L7400c29
875.046,0.003,875.0472,0.0005,2200,2.02E+04,AAA,97 492.304,-,108 917.1209,3,,,12,,,,T8637,L7400c29
886.289,0.01,886.2783,0.0006,-3600,3.16E+04,AAA,97 492.304,-,108 772.3445,3,,,11,,,,T8637,L7400c29
901.53,0.1,901.491,0.0007,-4800,5.16E+04,AAA,97 492.304,-,108 581.9945,3,,,10,,,,T8637,L7389
922.97,0.1,922.9014,0.0007,-6500,8.91E+04,AAA,97 492.304,-,108 324.7253,3,,,9,,,,T8637,L7389
,,,,,,,,,,,,,,,,,,
954.62,0.1,954.5969,0.0006,-9000,1.65E+05,AAA,97 492.304,-,107 965.0568,3,,,8,,,,T8637,L7389
1 004.98,0.1,1 004.9369,0.0007,-13000,3.36E+05,AAA,97 492.304,-,107 440.4508,3,,,7,,,,T8637,L7389
,,1 093.798199,0.000006,,1.56E+06,AAA,97 492.211200,-,[106 632.1620536],3p,2P°,1/2,6d,2D,3/2,,T7771,
,,1 093.799454,0.000006,,9.55E+05,AAA,97 492.221701,-,[106 632.1620756],3s,2S,1/2,6p,2P°,3/2,,T7771,
,,1 093.799661,0.000006,,1.69E+05,AAA,97 492.211200,-,106 632.1498416,3p,2P°,1/2,6s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 093.801075,0.000006,,9.55E+05,AAA,97 492.221701,-,[106 632.1485242],3s,2S,1/2,6p,2P°,1/2,,T7771,
,,1 093.810612,0.000006,,2.00E+06,AAA,97 492.319433,-,(106 632.16656761),3d,2D,3/2,6f,2F°,5/2,,T7771,
,,1 093.810633,0.000006,,1.88E+06,AAA,97 492.319611,-,106 632.1665697,3p,2P°,3/2,6d,2D,5/2,,T7771,
,,1 093.811150,0.000006,,7.82E+03,AAA,97 492.319433,-,[106 632.1620756],3d,2D,3/2,6p,2P°,3/2,,T7771,
,,1 093.811173,0.000006,,3.13E+05,AAA,97 492.319611,-,[106 632.1620536],3p,2P°,3/2,6d,2D,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 093.812635,0.000006,,3.38E+05,AAA,97 492.319611,-,106 632.1498416,3p,2P°,3/2,6s,2S,1/2,,T7771,
,,1 093.812771,0.000006,,7.83E+04,AAA,97 492.319433,-,[106 632.1485242],3d,2D,3/2,6p,2P°,1/2,,T7771,
,,1 093.814666,0.000006,,2.15E+06,AAA,97 492.355566,-,(106 632.16882614),3d,2D,5/2,6f,2F°,7/2,,T7771,
,,1 093.814936,0.000006,,1.43E+05,AAA,97 492.355566,-,(106 632.16656761),3d,2D,5/2,6f,2F°,5/2,,T7771,
,,1 093.815474,0.000006,,7.04E+04,AAA,97 492.355566,-,[106 632.1620756],3d,2D,5/2,6p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
1 093.817,0.013,1 093.8086,0.001,14000,7.78E+05,AAA,97 492.304,-,106 632.1681,3,,,6,,,,T8637,L7421
,,1 281.792576,0.000008,,2.83E+06,AAA,97 492.211200,-,105 291.651993,3p,2P°,1/2,5d,2D,3/2,,T7771,
,,1 281.794286,0.000009,,1.64E+06,AAA,97 492.221701,-,105 291.65209,3s,2S,1/2,5p,2P°,3/2,,T7771,
,,1 281.796036,0.000009,,3.02E+05,AAA,97 492.211200,-,[105 291.63094],3p,2P°,1/2,5s,2S,1/2,,T7771,
,,1 281.798135,0.000009,,1.64E+06,AAA,97 492.221701,-,105 291.62867,3s,2S,1/2,5p,2P°,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
1 281.8072,0.0008,1 281.8070,0.001,32000,2.20E+06,AAA,97 492.304,-,105 291.657,3,,,5,,,,T8637,L7421
,,1 281.809075,0.000007,,4.24E+06,AAA,97 492.319433,-,(105 291.65983494),3d,2D,3/2,5f,2F°,5/2,,T7771,
,,1 281.809111,0.000008,,3.39E+06,AAA,97 492.319611,-,[105 291.659796],3p,2P°,3/2,5d,2D,5/2,,T7771,
,,1 281.810348,0.000009,,1.50E+04,AAA,97 492.319433,-,105 291.65209,3d,2D,3/2,5p,2P°,3/2,,T7771,
,,1 281.810393,0.000008,,5.65E+05,AAA,97 492.319611,-,105 291.651993,3p,2P°,3/2,5d,2D,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 281.813853,0.000009,,6.03E+05,AAA,97 492.319611,-,[105 291.63094],3p,2P°,3/2,5s,2S,1/2,,T7771,
,,1 281.814197,0.000009,,1.50E+05,AAA,97 492.319433,-,105 291.62867,3d,2D,3/2,5p,2P°,1/2,,T7771,
,,1 281.814378,0.00001,,4.54E+06,AAA,97 492.355566,-,105 291.66370,3d,2D,5/2,5f,2F°,7/2,,T7771,
,,1 281.815013,0.000007,,3.03E+05,AAA,97 492.355566,-,(105 291.65983494),3d,2D,5/2,5f,2F°,5/2,,T7771,
,,1 281.816286,0.000009,,1.35E+05,AAA,97 492.355566,-,105 291.65209,3d,2D,5/2,5p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 519.1861,0.0009,,1.18E+03,AAA,102 823.904,-,[109 404.5776],4,,,20,,,,T8637,
,,1 526.0555,0.0009,,1.53E+03,AAA,102 823.904,-,[109 374.9555],4,,,19,,,,T8637,
,,1 534.1807,0.0009,,2.01E+03,AAA,102 823.904,-,[109 340.2604],4,,,18,,,,T8637,
,,1 543.8938,0.001,,2.69E+03,AAA,102 823.904,-,[109 299.2642],4,,,17,,,,T8637,
1 555.621,0.006,1 555.6466,0.0015,800,3.67E+03,AAA,102 823.904,-,[109 250.3433],4,,,16,,,,T8637,L7421c31
,,,,,,,,,,,,,,,,,,
,,1 570.0679,0.0015,-800,5.11E+03,AAA,102 823.904,-,[109 191.3154],4,,,15,,,,T8637,
,,1 588.0559,0.0013,-1000,7.29E+03,AAA,102 823.904,-,[109 119.1917],4,,,14,,,,T8637,
,,1 610.9330,0.0013,-1200,1.07E+04,AAA,102 823.904,-,[109 029.7913],4,,,13,,,,T8637,
1 640.688,0.013,1 640.7210,0.0016,1400,1.62E+04,AAA,102 823.904,-,108 917.1209,4,,,12,,,,T8637,L7421c31
1 680.651,0.003,1 680.6538,0.0017,1600,2.56E+04,AAA,102 823.904,-,108 772.3445,4,,,11,,,,T8637,L7421
,,,,,,,,,,,,,,,,,,
1 736.2143,0.0021,1 736.2127,0.0018,3100,4.23E+04,AAA,102 823.904,-,108 581.9945,4,,,10,,,,T8637,L7421
1 817.424,0.004,1 817.4141,0.002,2800,7.46E+04,AAA,102 823.904,-,108 324.7253,4,,,9,,,,T8637,L7421c31
,,1 875.068381,0.00001,,5.86E+06,AAA,97 492.211200,-,102 823.894250,3p,2P°,1/2,4d,2D,3/2,,T7771,
,,1 875.072050,0.00001,,3.07E+06,AAA,97 492.221701,-,102 823.8943175,3s,2S,1/2,4p,2P°,3/2,,T7771,
,,1 875.082881,0.00001,,6.12E+05,AAA,97 492.211200,-,102 823.8530211,3p,2P°,1/2,4s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 875.088135,0.00001,,3.07E+06,AAA,97 492.221701,-,102 823.8485825,3s,2S,1/2,4p,2P°,1/2,,T7771,
,,1 875.101086,0.00002,,1.29E+07,AAA,97 492.319433,-,102 823.90949,3d,2D,3/2,4f,2F°,5/2,,T7771,
,,1 875.101149,0.00001,,7.04E+06,AAA,97 492.319611,-,102 823.9094871,3p,2P°,3/2,4d,2D,5/2,,T7771,
,,1 875.106422,0.000012,,3.48E+04,AAA,97 492.319433,-,102 823.8943175,3d,2D,3/2,4p,2P°,3/2,,T7771,
,,1 875.106508,0.00001,,1.17E+06,AAA,97 492.319611,-,102 823.894250,3p,2P°,3/2,4d,2D,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,1 875.111120,0.000011,,1.38E+07,AAA,97 492.355566,-,102 823.917091,3d,2D,5/2,4f,2F°,7/2,,T7771,
,,1 875.113794,0.00002,,9.19E+05,AAA,97 492.355566,-,102 823.90949,3d,2D,5/2,4f,2F°,5/2,,T7771,
,,1 875.119130,0.00001,,3.13E+05,AAA,97 492.355566,-,102 823.8943175,3d,2D,5/2,4p,2P°,3/2,,T7771,
,,1 875.121008,0.00001,,1.22E+06,AAA,97 492.319611,-,102 823.8530211,3p,2P°,3/2,4s,2S,1/2,,T7771,
,,1 875.122507,0.000012,,3.48E+05,AAA,97 492.319433,-,102 823.8485825,3d,2D,3/2,4p,2P°,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
1 875.13,0.1,1 875.0976,0.0025,-51000,8.99E+06,AAA,97 492.304,-,102 823.904,3,,,4,,,,T8637,L4812
,,1 944.5582,0.0023,-4500,1.42E+05,AAA,102 823.904,-,107 965.0568,4,,,8,,,,T8637,
,,,,,,,,,,,,,,,,,,
"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,,,,,,,,,,,,,,,,,
2 166.1178,0.0023,2 166.121,0.003,8000,3.04E+05,AAA,102 823.904,-,107 440.4508,4,,,7,,,,T8637,L7421
,,2 431.362,0.003,,9.75E+02,AAA,105 291.657,-,[109 404.5776],5,,,20,,,,T8637,
,,2 449.000,0.003,,1.27E+03,AAA,105 291.657,-,[109 374.9555],5,,,19,,,,T8637,
,,2 469.988,0.003,,1.67E+03,AAA,105 291.657,-,[109 340.2604],5,,,18,,,,T8637,
,,2 495.2545,0.0025,,2.25E+03,AAA,105 291.657,-,[109 299.2642],5,,,17,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,2 526.091,0.004,-400,3.08E+03,AAA,105 291.657,-,[109 250.3433],5,,,16,,,,T8637,
,,2 564.327,0.005,-480,4.31E+03,AAA,105 291.657,-,[109 191.3154],5,,,15,,,,T8637,
,,2 612.648,0.004,-580,6.18E+03,AAA,105 291.657,-,[109 119.1917],5,,,14,,,,T8637,
,,2 625.8342639,0.000001,,7.18E+05,AAA,102 823.8485825,-,[106 632.1620536],4p,2P°,1/2,6d,2D,3/2,,T7771,
,,2 625.8373091,0.0000007,,4.46E+05,AAA,102 823.8530211,-,[106 632.1620756],4s,2S,1/2,6p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,2 625.8426841,0.0000006,,1.19E+05,AAA,102 823.8485825,-,106 632.1498416,4p,2P°,1/2,6s,2S,1/2,,T7771,
,,2 625.8466529,0.0000007,,4.46E+05,AAA,102 823.8530211,-,[106 632.1485242],4s,2S,1/2,6p,2P°,1/2,,T7771,
,,2 625.862640,0.000006,,1.20E+06,AAA,102 823.894250,-,(106 632.16656761),4d,2D,3/2,6f,2F°,5/2,,T7771,
,,2 625.8626846,0.0000007,,8.62E+05,AAA,102 823.8943175,-,106 632.1665697,4p,2P°,3/2,6d,2D,5/2,,T7771,
,,2 625.865737,0.000006,,9.42E+03,AAA,102 823.894250,-,[106 632.1620756],4d,2D,3/2,6p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,2 625.8657986,0.0000007,,1.44E+05,AAA,102 823.8943175,-,[106 632.1620536],4p,2P°,3/2,6d,2D,3/2,,T7771,
2 625.871,0.021,2 625.868,0.004,-9000,7.71E+05,AAA,102 823.904,-,106 632.1681,4,,,6,,,,T8637,L7452
,,2 625.8715885,0.0000007,,1.29E+06,AAA,102 823.9094871,-,(106 632.16882614),4d,2D,5/2,6f,2F°,7/2,,T7771,
,,2 625.87159,0.00003,,1.32E+06,AAA,102 823.90949,-,(106 632.16882188),4f,2F°,5/2,6g,2G,7/2,,T7771,
,,2 625.8731458,0.0000007,,8.58E+04,AAA,102 823.9094871,-,(106 632.16656761),4d,2D,5/2,6f,2F°,5/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,2 625.87315,0.00003,,1.02E+03,AAA,102 823.90949,-,106 632.1665697,4f,2F°,5/2,6d,2D,5/2,,T7771,
,,2 625.8742190,0.0000007,,2.39E+05,AAA,102 823.8943175,-,106 632.1498416,4p,2P°,3/2,6s,2S,1/2,,T7771,
,,2 625.875081,0.000006,,9.42E+04,AAA,102 823.894250,-,[106 632.1485242],4d,2D,3/2,6p,2P°,1/2,,T7771,
,,2 625.875900,0.000009,,1.37E+06,AAA,102 823.917091,-,(106 632.17017701),4f,2F°,7/2,6g,2G,9/2,,T7771,
,,2 625.8762431,0.0000007,,8.48E+04,AAA,102 823.9094871,-,[106 632.1620756],4d,2D,5/2,6p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,2 625.87626,0.00003,,2.15E+04,AAA,102 823.90949,-,[106 632.1620536],4f,2F°,5/2,6d,2D,3/2,,T7771,
,,2 625.876834,0.000009,,4.90E+04,AAA,102 823.917091,-,(106 632.16882188),4f,2F°,7/2,6g,2G,7/2,,T7771,
,,2 625.878387,0.000009,,2.04E+04,AAA,102 823.917091,-,106 632.1665697,4f,2F°,7/2,6d,2D,5/2,,T7771,
,,2 675.131,0.004,-700,9.15E+03,AAA,105 291.657,-,[109 029.7913],5,,,13,,,,T8637,
,,2 758.268,0.005,-900,1.40E+04,AAA,105 291.657,-,108 917.1209,5,,,12,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,2 872.996,0.006,-1100,2.25E+04,AAA,105 291.657,-,108 772.3445,5,,,11,,,,T8637,
,,3 039.202,0.006,-1400,3.80E+04,AAA,105 291.657,-,108 581.9945,5,,,10,,,,T8637,
3 296.98,0.22,3 296.991,0.007,-1800,6.91E+04,AAA,105 291.657,-,108 324.7253,5,,,9,,,,T8637,L7452
,,3 606.9708,0.0025,,8.42E+02,AAA,106 632.1681,-,[109 404.5776],6,,,20,,,,T8637,
,,3 645.926,0.003,,1.10E+03,AAA,106 632.1681,-,[109 374.9555],6,,,19,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,3 692.636,0.003,,1.46E+03,AAA,106 632.1681,-,[109 340.2604],6,,,18,,,,T8637,
3 740.576,0.017,3 740.555,0.008,2500,1.39E+05,AAA,105 291.657,-,107 965.0568,5,,,8,,,,T8637,L7421
,,3 749.396,0.003,,1.97E+03,AAA,106 632.1681,-,[109 299.2642],6,,,17,,,,T8637,
,,3 819.454,0.004,-140,2.71E+03,AAA,106 632.1681,-,[109 250.3433],6,,,16,,,,T8637,
,,3 907.552,0.005,-170,3.82E+03,AAA,106 632.1681,-,[109 191.3154],6,,,15,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,4 020.871,0.004,-200,5.53E+03,AAA,106 632.1681,-,[109 119.1917],6,,,14,,,,T8637,
,,4 052.18664,0.00004,,1.24E+06,AAA,102 823.8485825,-,105 291.651993,4p,2P°,1/2,5d,2D,3/2,,T7771,
,,4 052.19376,0.00007,,7.37E+05,AAA,102 823.8530211,-,105 291.65209,4s,2S,1/2,5p,2P°,3/2,,T7771,
,,4 052.22121,0.00007,,2.15E+05,AAA,102 823.8485825,-,[105 291.63094],4p,2P°,1/2,5s,2S,1/2,,T7771,
,,4 052.23222,0.00007,,7.37E+05,AAA,102 823.8530211,-,105 291.62867,4s,2S,1/2,5p,2P°,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,4 052.248747,0.000013,,2.41E+06,AAA,102 823.894250,-,(105 291.65983494),4d,2D,3/2,5f,2F°,5/2,,T7771,
,,4 052.24892,0.00004,,1.49E+06,AAA,102 823.8943175,-,[105 291.659796],4p,2P°,3/2,5d,2D,5/2,,T7771,
,,4 052.26147,0.00007,,1.88E+04,AAA,102 823.894250,-,105 291.65209,4d,2D,3/2,5p,2P°,3/2,,T7771,
,,4 052.26174,0.00004,,2.48E+05,AAA,102 823.8943175,-,105 291.651993,4p,2P°,3/2,5d,2D,3/2,,T7771,
,,4 052.26738,0.00008,,4.10E+06,AAA,102 823.90949,-,(105 291.66373033),4f,2F°,5/2,5g,2G,7/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,4 052.26742,0.00008,,2.58E+06,AAA,102 823.9094871,-,105 291.66370,4d,2D,5/2,5f,2F°,7/2,,T7771,
,,4 052.2737678,0.0000016,,1.72E+05,AAA,102 823.9094871,-,(105 291.65983494),4d,2D,5/2,5f,2F°,5/2,,T7771,
,,4 052.27384,0.0001,,2.40E+03,AAA,102 823.90949,-,[105 291.659796],4f,2F°,5/2,5d,2D,5/2,,T7771,
,,4 052.276012,0.000021,,4.25E+06,AAA,102 823.917091,-,(105 291.66607200),4f,2F°,7/2,5g,2G,9/2,,T7771,
4 052.279,0.008,4 052.269,0.01,11000,2.70E+06,AAA,102 823.904,-,105 291.657,4,,,5,,,,T8637,L7421
,,,,,,,,,,,,,,,,,,
,,4 052.279858,0.000021,,1.52E+05,AAA,102 823.917091,-,(105 291.66373033),4f,2F°,7/2,5g,2G,7/2,,T7771,
,,4 052.28632,0.00005,,4.81E+04,AAA,102 823.917091,-,[105 291.659796],4f,2F°,7/2,5d,2D,5/2,,T7771,
,,4 052.28649,0.00007,,1.70E+05,AAA,102 823.9094871,-,105 291.65209,4d,2D,5/2,5p,2P°,3/2,,T7771,
,,4 052.28665,0.0001,,5.05E+04,AAA,102 823.90949,-,105 291.651993,4f,2F°,5/2,5d,2D,3/2,,T7771,
,,4 052.29631,0.00007,,4.30E+05,AAA,102 823.8943175,-,[105 291.63094],4p,2P°,3/2,5s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,4 052.29992,0.00007,,1.88E+05,AAA,102 823.894250,-,105 291.62867,4d,2D,3/2,5p,2P°,1/2,,T7771,
,,4 170.797,0.005,-240,8.27E+03,AAA,106 632.1681,-,[109 029.7913],6,,,13,,,,T8637,
,,4 376.458,0.004,-300,1.29E+04,AAA,106 632.1681,-,108 917.1209,6,,,12,,,,T8637,
4 653.78,0.03,4 653.774,0.013,4200,3.25E+05,AAA,105 291.657,-,107 440.4508,5,,,7,,,,T8637,L7421
,,4 672.512,0.005,-370,2.11E+04,AAA,106 632.1681,-,108 772.3445,6,,,11,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,5 091.321,0.004,,7.52E+02,AAA,107 440.4508,-,[109 404.5776],7,,,20,,,,T8637,
5 128.65,0.08,5 128.662,0.006,-450,3.69E+04,AAA,106 632.1681,-,108 581.9945,6,,,10,,,,T8637,L7452
,,5 169.282,0.004,,9.85E+02,AAA,107 440.4508,-,[109 374.9555],7,,,19,,,,T8637,
