"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,,,,,,,,,,,,,,,,,
92.3151,0.002,92.31503193,0.00000003,,5.78E+06,AAA,0,-,[108 324.72016],1s,2S,1/2,9p,2P°,1/2,,T7771,L8445
,,92.62256653,0.0000000003,,,,0,-,107 965.0497145,1s,2S,1/2,8s,2S,1/2,M1,,
92.6229,0.002,92.6225621,0.0000000005,,8.25E+06,AAA,0,-,[107 965.0548753],1s,2S,1/2,8p,2P°,3/2,,T7771,L8445
92.6229,0.002,92.62256701,0.0000000005,,8.25E+06,AAA,0,-,[107 965.0491583],1s,2S,1/2,8p,2P°,1/2,,T7771,L8445
92.6249,0.0014,92.6225605,0.0000013,11000,3.87E+05,AAA,0,-,107 965.0568,1s,2S,1/2,8,,,,T8637,L8834
,,,,,,,,,,,,,,,,,,
93.07481505,0.00000002,93.07481505,0.00000002,,,,0,-,[107 440.449866],1s,2S,1/2,7d,2D,5/2,E2,,L15291c37
93.07482418,0.00000003,93.07482418,0.00000003,,,,0,-,[107 440.43933],1s,2S,1/2,7s,2S,1/2,M1,,L15291c36
93.0749,0.002,93.07481751,0.00000003,,1.24E+07,AAA,0,-,[107 440.44703],1s,2S,1/2,7p,2P°,3/2,,T7771,L8445
93.0749,0.002,93.07482489,0.00000003,,1.24E+07,AAA,0,-,[107 440.43850],1s,2S,1/2,7p,2P°,1/2,,T7771,L8445
93.0751,0.0014,93.0748142,0.000002,5600,7.57E+05,AAA,0,-,107 440.4508,1s,2S,1/2,7,,,,T8637,L8834
,,,,,,,,,,,,,,,,,,
93.7801,0.0021,93.78033611,0.0000000009,,1.97E+07,AAA,0,-,[106 632.1620756],1s,2S,1/2,6p,2P°,3/2,,T7771,L8445
93.7801,0.0021,93.78034803,0.0000000009,,1.97E+07,AAA,0,-,[106 632.1485242],1s,2S,1/2,6p,2P°,1/2,,T7771,L8445
,,93.78034687,0.0000000006,,,,0,-,106 632.1498416,1s,2S,1/2,6s,2S,1/2,M1,,
93.7814,0.0014,93.780331,0.000004,19000,1.64E+06,AAA,0,-,106 632.1681,1s,2S,1/2,6,,,,T8637,L8834
94.9742,0.0004,94.97429095,0.00000004,,3.44E+07,AAA,0,-,105 291.65209,1s,2S,1/2,5p,2P°,3/2,,T7771,L3545
,,,,,,,,,,,,,,,,,,
94.9742,0.0004,94.974287,0.000005,33000,4.13E+06,AAA,0,-,105 291.657,1s,2S,1/2,5,,,,T8637,L3545
94.9742,0.0004,94.97431207,0.00000004,,3.44E+07,AAA,0,-,105 291.62867,1s,2S,1/2,5p,2P°,1/2,,T7771,L3545
94.974284,0.000000021,94.974284,0.000000021,,,,0,-,[105 291.659796],1s,2S,1/2,5d,2D,5/2,E2,,L15291c37
94.97431001,0.00000004,94.97431003,0.00000004,,,,0,-,[105 291.63094],1s,2S,1/2,5s,2S,1/2,M1,,L15291c36
97.2517,0.0014,97.25365,0.000011,83000,1.28E+07,AAA,0,-,102 823.904,1s,2S,1/2,4,,,,T8637,L8834
,,,,,,,,,,,,,,,,,,
,,97.2536985,0.0000000003,,,,0,-,102 823.8530211,1s,2S,1/2,4s,2S,1/2,M1,,
97.2541,0.0019,97.25365944,0.0000000003,,6.82E+07,AAA,0,-,102 823.8943175,1s,2S,1/2,4p,2P°,3/2,,T7771,L8445
97.2541,0.0019,97.2537027,0.0000000005,,6.82E+07,AAA,0,-,102 823.8485825,1s,2S,1/2,4p,2P°,1/2,,T7771,L8445
,,102.5721447,0.000000007,,5.94E+02,AAA,0,-,97 492.355566,1s,2S,1/2,3d,2D,5/2,E2,T7651,
,,102.5721827,0.000000021,,5.94E+02,AAA,0,-,97 492.319433,1s,2S,1/2,3d,2D,3/2,E2,T7651,
,,,,,,,,,,,,,,,,,,
,,102.5722855,0.000000007,,1.11E-06,AAA,0,-,97 492.221701,1s,2S,1/2,3s,2S,1/2,M1,T7651,
102.5728,0.0003,102.5721825,0.000000007,,1.67E+08,AAA,0,-,97 492.319611,1s,2S,1/2,3p,2P°,3/2,,T7771,L3545
102.5728,0.0003,102.5722,0.00003,250000,5.58E+07,AAA,0,-,97 492.304,1s,2S,1/2,3,,,,T8637,L3545
102.5728,0.0003,102.5722966,0.000000007,,1.67E+08,AAA,0,-,97 492.211200,1s,2S,1/2,3p,2P°,1/2,,T7771,L3545
121.56699,0.0002,121.5668237,0.0000000006,,6.26E+08,AAA,0,-,82 259.2850014,1s,2S,1/2,2p,2P°,3/2,,T7771,L12020
,,,,,,,,,,,,,,,,,,
121.56699,0.0002,121.5673645,0.0000000004,,6.26E+08,AAA,0,-,82 258.9191133,1s,2S,1/2,2p,2P°,1/2,,T7771,L12020
121.56701,0.00021,121.56701,0.00015,840000,4.70E+08,AAA,0,-,82 259.158,1s,2S,1/2,2,,,,T8637,L12020
121.5673123,0,121.5673123,0,,2.50E-06,AAA,0,-,82 258.9543992821,1s,2S,1/2,2s,2S,1/2,M1,T7651,L12363
,,,,,,,,,,,,,,,,,,
"Observed 
 Wavelength 
 Air (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Air (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,,,,,,,,,,,,,,,,,
,,365.51234,0.00013,,6.75E+01,AAA,82 259.158,-,[109 610.2232],2,,,40,,,,T8637,
,,365.55993,0.00013,,7.66E+01,AAA,82 259.158,-,[109 606.6628],2,,,39,,,,T8637,
,,365.61134,0.00013,,8.72E+01,AAA,82 259.158,-,[109 602.8177],2,,,38,,,,T8637,
365.665,0.003,365.66698,0.00019,700,9.97E+01,AAA,82 259.158,-,[109 598.6566],2,,,37,,,,T8637,L7400c29
365.725,0.003,365.72735,0.00019,700,1.14E+02,AAA,82 259.158,-,[109 594.1439],2,,,36,,,,T8637,L7400c29
,,,,,,,,,,,,,,,,,,
365.804,0.01,365.79299,0.00019,700bl,1.32E+02,AAA,82 259.158,-,[109 589.2390],2,,,35,,,,T8637,L7400c29
365.865,0.003,365.86453,0.00019,700,1.52E+02,AAA,82 259.158,-,[109 583.8949],2,,,34,,,,T8637,L7400c29
365.941,0.003,365.94271,0.00019,700,1.77E+02,AAA,82 259.158,-,[109 578.0577],2,,,33,,,,T8637,L7400c29
366.032,0.01,366.02837,0.00019,700bl,2.06E+02,AAA,82 259.158,-,[109 571.6647],2,,,32,,,,T8637,L7400c29
366.127,0.003,366.12249,0.00019,800,2.42E+02,AAA,82 259.158,-,[109 564.6431],2,,,31,,,,T8637,L7400c29
,,,,,,,,,,,,,,,,,,
366.222,0.01,366.22625,0.00019,1100bl,2.85E+02,AAA,82 259.158,-,[109 556.9077],2,,,30,,,,T8637,L7400c29
366.341,0.01,366.34098,0.00019,900bl,3.37E+02,AAA,82 259.158,-,[109 548.3584],2,,,29,,,,T8637,L7400c29
366.465,0.01,366.46831,0.00019,1000bl,4.02E+02,AAA,82 259.158,-,[109 538.8768],2,,,28,,,,T8637,L7400c29
366.608,0.003,366.61016,0.00019,900,4.83E+02,AAA,82 259.158,-,[109 528.3223],2,,,27,,,,T8637,L7400c29
366.773,0.003,366.76881,0.00019,1000,5.83E+02,AAA,82 259.158,-,[109 516.5267],2,,,26,,,,T8637,L7400c29
,,,,,,,,,,,,,,,,,,
366.945,0.003,366.94705,0.00019,1300,7.10E+02,AAA,82 259.158,-,[109 503.2875],2,,,25,,,,T8637,L7400c29
367.132,0.01,367.14823,0.00019,1200bl,8.71E+02,AAA,82 259.158,-,[109 488.3592],2,,,24,,,,T8637,L7400c29
367.381,0.003,367.37649,0.00019,1300,1.08E+03,AAA,82 259.158,-,[109 471.4416],2,,,23,,,,T8637,L7400c29
367.6376,0.0006,367.63692,0.00019,1400,1.35E+03,AAA,82 259.158,-,[109 452.1650],2,,,22,,,,T8637,L7436c29
367.937,0.0006,367.93589,0.00019,1700,1.70E+03,AAA,82 259.158,-,[109 430.0696],2,,,21,,,,T8637,L7436c29
,,,,,,,,,,,,,,,,,,
368.2823,0.0006,368.28143,0.00019,1700,2.17E+03,AAA,82 259.158,-,[109 404.5776],2,,,20,,,,T8637,L7436c29
368.6831,0.0006,368.68376,0.00019,2000,2.81E+03,AAA,82 259.158,-,[109 374.9555],2,,,19,,,,T8637,L7436c29
369.1551,0.0006,369.15611,0.00019,2300,3.69E+03,AAA,82 259.158,-,[109 340.2604],2,,,18,,,,T8637,L7436c29
369.7157,0.0006,369.71581,0.00019,2300,4.91E+03,AAA,82 259.158,-,[109 299.2642],2,,,17,,,,T8637,L7436c29
370.3859,0.0006,370.38593,0.00019,2800,6.66E+03,AAA,82 259.158,-,[109 250.3433],2,,,16,,,,T8637,L7436c29
,,,,,,,,,,,,,,,,,,
371.1978,0.0006,371.19774,0.00019,3300,9.21E+03,AAA,82 259.158,-,[109 191.3154],2,,,15,,,,T8637,L7436c29
372.1946,0.0006,372.19449,0.00019,5000,1.30E+04,AAA,82 259.158,-,[109 119.1917],2,,,14,,,,T8637,L7436c29
